,งวดงบการเงิน ณ วันที่,หลักทรัพย์,สินทรัพย์รวม,หนี้สินรวม,ส่วนของผู้ถือหุ้น,มูลค่าหุ้นที่เรียกชำระแล้ว,รายได้รวม,กำไร (ขาดทุน) จากกิจกรรมอื่น,กำไรสุทธิ,กำไรต่อหุ้น (บาท),อัตราส่วนทางการเงินที่สำคัญ,ROA (%),ROE (%),อัตรากำไรสุทธิ (%),หลักทรัพย์-ปี,ค่าสถิติสำคัญ ณ วันที่,ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),วันที่ของงบการเงินที่ใช้คำนวณค่าสถิติ,P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน (%),ปี
0,งบปี 2563 31 ธ.ค. 2563,ADVANC,350170.58,274481.21,75563.98,2973.55,173720.31,69.89,27434.36,9.23,,12.02,37.88,15.79,ADVANC-2563,30 ธ.ค. 2563,176.00,523345.56,30 ก.ย. 2563,19.15,7.64,23.04,4.17,2563
1,งบปี 2564 31 ธ.ค. 2564,ADVANC,356221.74,274397.22,81698.75,2973.93,182605.54,-786.32,26922.15,9.05,,10.91,34.24,14.74,ADVANC-2564,30 ธ.ค. 2564,230.00,684002.93,30 ก.ย. 2564,25.13,9.15,25.12,3.01,2564
2,งบปี 2565 31 ธ.ค. 2565,ADVANC,337043.66,251227.31,85688.72,2974.21,186142.92,-72.87,26011.28,8.75,,10.79,31.08,13.98,ADVANC-2565,30 ธ.ค. 2565,195.00,579970.90,30 ก.ย. 2565,22.73,7.43,26.25,3.94,2565
3,งบปี 2566 31 ธ.ค. 2566,ADVANC,454439.22,363761.01,90577.12,2974.21,189720.27,787.74,29086.11,9.78,,10.65,33.0,15.33,ADVANC-2566,28 ธ.ค. 2566,217.00,645403.51,30 ก.ย. 2566,21.92,7.74,28.04,3.54,2566
4,ไตรมาส 1/2567 31 มี.ค. 2567,ADVANC,455211.3,369823.62,85287.08,2974.21,53465.06,43.78,8451.05,2.84,,11.53,37.28,15.81,ADVANC-2567,13 พ.ค. 2567,205.00,609713.00,31 มี.ค. 2567,19.81,7.15,28.68,4.20,2567
5,งบปี 2563 30 ก.ย. 2563,AOT,173558.57,30526.9,142235.58,14285.7,33129.95,145.56,4320.68,0.3,,3.22,2.92,12.97,AOT-2563,30 ธ.ค. 2563,62.25,889284.83,30 ก.ย. 2563,205.82,6.25,9.96,0.31,2563
6,งบปี 2564 30 ก.ย. 2564,AOT,195085.77,81664.39,112343.77,14285.7,7715.73,-51.08,-16322.01,-1.14,,-9.53,-12.82,-212.19,AOT-2564,30 ธ.ค. 2564,61.00,871427.70,30 ก.ย. 2564,-,7.76,7.86,-,2564
7,งบปี 2565 30 ก.ย. 2565,AOT,183812.92,81294.32,101323.97,14285.7,16992.5,258.17,-11087.87,-0.78,,-5.77,-10.38,-64.59,AOT-2565,30 ธ.ค. 2565,75.00,1071427.50,30 ก.ย. 2565,-,10.57,7.09,-,2565
8,งบปี 2566 30 ก.ย. 2566,AOT,195611.09,83432.9,110464.78,14285.7,48435.31,-8.37,8790.87,0.62,,7.48,8.3,18.73,AOT-2566,28 ธ.ค. 2566,59.75,853570.58,30 ก.ย. 2566,97.10,7.73,7.73,0.60,2566
9,ไตรมาส 1/2567 31 ธ.ค. 2566,AOT,194347.57,77584.12,114930.83,14285.7,15769.85,5.32,4563.03,0.32,,10.32,12.01,29.69,AOT-2566,28 ธ.ค. 2566,59.75,853570.58,30 ก.ย. 2566,97.10,7.73,7.73,0.60,2566
